name,is_tmp
PROD_ANALITICA.DBO.V_DATOSCONVENIOS,N
PROD_MODELOS.DBO.CUR_REPERFILADO,N
PROD_MODELOS.DBO.FED_TMP_RECHAZOS,N
PROD_MODELOS.DBO.REPERFILADO,N
PROD_MODELOS.DBO.TEMPO_EFECTIVO_G5,N
PROD_MODELOS.DBO.TEMPO_EFECTIVO_G7,N
PROD_MODELOS.DBO.TEMPO_ELECTRO_G0,N
PROD_MODELOS.DBO.TEMPO_ELECTRO_G1,N
PROD_MODELOS.DBO.TEMPO_MOTOS_G0,N
PROD_MODELOS.DBO.TEMPO_MOTOS_G1,N
PROD_MODELOS.DBO.TEMPO_TC_G5,N
PROD_MODELOS.DBO.TEMPO_TC_G7,N
PROD_MODELOS.DBO.TMPPERFILEFECTINEGOCIO,N
PROD_MODELOS.DBO.TMPPERFILEFECTIVOBANCARIZADO,N
PROD_MODELOS.DBO.TMPPERFILEFECTIVORECURRENTE,N
PROD_MODELOS.DBO.TMPPERFILELECTROBANCARIZADO,N
PROD_MODELOS.DBO.TMPPERFILELECTRORECURRENTE,N
PROD_MODELOS.DBO.TMPPERFILMOTOSBANCARIZADO,N
PROD_MODELOS.DBO.TMPPERFILMOTOSRECURRENTE,N
PROD_MODELOS.DBO.TMPPERFILTARJETACREDITO,N
PROD_MODELOS.DBO.TMPV_REGLASDURAS_,N
PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVAS,N
PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVASAPROB,N
PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVASPROCESOEFECTIVO,N
PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVATC,N
PROD_MODELOS.DBO.TMP_GRUPOB,N
PROD_MODELOS.DBO.TMP_NODOSOB3,N
PROD_MODELOS.DBO.TMP_UMD_FED_INTERFAZTXT,N
PROD_MODELOS.DBO.UMD_FED_BASESMASIVASBI,N
PROD_MODELOS.DBO.UMD_FED_DETALLEBASEMASIVAS,N
PROD_MODELOS.DBO.UMD_FED_INTERFAZTXT,N
PROD_MODELOS.DBO.UMD_FED_MATRIZRECHAZOPIVOT,N
PROD_MODELOS.DBO.UMD_FED_RDGENERAL_MENSUAL,N
PROD_MODELOS.DBO.UMD_FED_RDGENERAL_SEMANAL,N
PROD_MODELOS.DBO.UMD_FED_UNIVERSOBMMICROPEQUENAEMPRESA,N
PROD_MODELOS.DBO.V_REGLASDURAS,N
PROD_MODELOS.PROD_ANALITICA.BM_DETALLECREDITOS,N
PROD_MODELOS.PROD_EFECTIVA.PERSONAS,N
PROD_MODELOS.PROD_RCC.RCC_VARIABLESESPECIALES,N
